"Time","VUs   - sdkFxSendE2EMin 2025-10-14 17:03","Latency(p99)  - sdkFxSendE2EMin 2025-10-14 17:03","Throughput - sdkFxSendE2EMin 2025-10-14 17:03"
1760461840000,10,8.805570839380001,1.2963443090484834
1760461845000,10,8.80048892836,1.5226880519744188
1760461850000,10,8.796536330899997,1.724695483453703
1760461855000,10,8.791454419880003,1.573873696635845
1760461860000,10,8.78750182242,1.5455950540958268
1760461865000,10,8.835138225229997,1.508750754375377
1760461870000,10,8.83215930992,1.4323911382734913
1760461875000,10,8.829180394609997,1.3737611618094399
1760461880000,10,8.8262014793,1.4295925661186561
1760461885000,10,8.822797004659998,1.6068559185859665
1760461890000,10,8.817428631759999,1.7593588114553806
1760461895000,10,8.81404069108,1.5277379929342119
1760461900000,10,8.810088093619997,1.3638271086865297
1760461905000,10,8.805570839380001,1.8170805572380373
1760461910000,10,8.81633889328,1.7784287059315829
1760461915000,10,8.815158473759999,1.4192686592085488
1760461920000,10,8.81442071156,1.3955984970477724
1760461925000,10,8.812945187159999,1.5484670176525241
1760461930000,10,8.8123549774,1.2445550715619165
1760461935000,10,8.833435987909999,1.2477903712176355
1760461940000,10,8.830031513269995,1.5840015840015838
1760461945000,10,8.8262014793,1.6193560678224426
1760461950000,10,8.823648123319998,1.5822784810126584
1760461955000,10,8.82150322868,1.4032815198618307
1760461960000,10,8.82002770428,1.579632038654525
1760461965000,10,8.818994837199998,1.6081733043231483
1760461970000,10,8.817961970119999,1.4087341517407928
1760461975000,10,8.816781550599998,1.6181229773462784
1760461980000,10,8.815306026199998,1.7761989342806395
1760461985000,10,8.814273159119999,1.6233766233766236
1760461990000,10,8.81324029204,1.4306151645207437
1760461995000,10,8.8123549774,1.3249082755809214
1760462000000,10,8.81102700544,1.602392906740733
1760462005000,10,8.80969903348,1.8145161290322582
1760462010000,10,8.80881371884,1.407921907264877
1760462015000,10,8.807780851759999,1.307058113814599
1760462020000,10,8.821208123800002,1.6769730636201656
1760462025000,10,8.8197325994,1.743599155730935
1760462030000,10,8.818847284759999,1.511144692104269
1760462035000,10,8.817519312800002,1.5552099533437014
1760462040000,10,8.81648644572,1.6253555465258027
1760462045000,10,8.81545357864,1.367855398143625
1760462050000,10,8.81442071156,1.7196904557179709
1760462055000,10,8.812945187159999,1.8144946098836587
1760462060000,10,8.81176476764,1.554001554001554
1760462065000,10,8.81073190056,1.389789678495321
1760462070000,10,8.809846585919999,1.3382746551369156
1760462075000,10,8.808371061519999,1.637331150225133
1760462080000,10,8.807190642,1.6787912702853949
1760462085000,10,8.8051051203,1.2975346841002098
1760462090000,10,8.801351181240001,1.422330590267195
1760462095000,10,8.79759724218,1.7645328889324576
1760462100000,10,8.794260407459996,1.718386738097645
1760462105000,10,8.791340677079996,1.5151515151515151
1760462110000,10,8.788838051039999,1.323828920570265
1760462115000,10,8.78508411198,1.5516706320471707
1760462120000,10,8.782164381600003,1.6780283167278447
1760462125000,10,8.777993338199998,1.6551455554473762
1760462130000,10,8.7759078165,1.5376729882111737
1760462135000,10,8.771736773100004,1.5066291683406992
1760462140000,10,8.768817042719999,1.6428295322767683
1760462145000,10,8.76631441668,1.329243353783231
1760462150000,10,8.757942932170009,1.4477367049512595
1760462155000,10,8.748252148959992,1.775147928994083
1760462160000,10,8.741791626819998,1.5172971879425452
1760462165000,10,8.794260407460003,1.466992665036675
1760462170000,10,8.791340677079996,1.549486732519853
1760462175000,10,8.78758673802,1.653404980882505
1760462180000,10,8.784249903300003,1.6755371575004927
1760462185000,10,8.782581485940003,1.1682242990654208
1760462190000,10,8.779244651219997,1.4491003501992512
1760462195000,10,8.7759078165,1.747487986020096
1760462200000,10,8.772153877440003,1.517586145331191
1760462205000,10,8.770485460079996,1.4023732470334414
1760462210000,10,8.76631441668,1.370801919122687
1760462215000,10,8.757942932170009,1.6588091496420463
1760462220000,10,8.75040565633999,1.5380178794578485
1760462225000,10,8.745021887889994,1.2128562765312312
1760462230000,10,8.735331104680004,1.592356687898089
1760462235000,10,8.726717075160012,1.7106057556852485
1760462240000,10,8.718103045639994,1.442221020371372
1760462245000,10,8.710565769810001,1.601024655779699
1760462250000,10,8.69979823291001,1.6710901405681704
1760462255000,10,8.692260957079995,1.6442595995744267
1760462260000,10,8.684723681250002,1.4893617021276595
1760462265000,10,8.677186405420008,1.381488059996053
1760462270000,10,8.667495622209993,1.6594067620825554
1760462275000,10,8.65995834638,1.515725653656688
1760462280000,10,8.656476752080001,1.483826293401919
1760462285000,10,8.654927317339999,1.574803149606299
1760462290000,10,8.653156534779999,1.4533475438426509
1760462295000,10,8.65182844786,1.3726835964310224
1760462300000,10,8.649836317480002,1.5276504735716467
1760462305000,10,8.648065534919999,1.7802911299612527
1760462310000,10,8.64629475236,1.788508830762352
1760462315000,10,8.644302621980001,1.7189079878665319
1760462320000,10,8.642974535059999,1.3141755738566674
1760462325000,10,8.64098240468,1.3761467889908257
1760462330000,6,8.638990274300003,1.6069993750557985
1760462335000,2,8.638990274300003,1.0682491814578665
1760462340000,2,8.638990274300003,0.5153685246708503
