Time,VUs   - sdkFxSendE2E 2025-10-13 13:43,Latency(p99)  - sdkFxSendE2E 2025-10-13 13:43,Throughput - sdkFxSendE2E 2025-10-13 13:43,SDK_E2E_STATUS_COMPLETED,TRANSFERS__POST_TRANSFERS_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_QUOTE_RESPONSE_IS_200,Pod Termination
1760363215000,10,9.49176065602,1.5406737880032866,undefined,undefined,undefined,
1760363220000,10,9.468292221550005,1.7107013875689032,undefined,undefined,undefined,
1760363225000,10,9.450038994739993,1.5868293166716256,undefined,undefined,undefined,
1760363230000,10,9.437000975590005,1.2103847590586478,undefined,undefined,undefined,
1760363235000,10,9.41092493729,1.586797841954935,undefined,undefined,undefined,
1760363237714,,,,,,,moja-als-msisdn-oracle-9f49d95ff-2qkqp killed
1760363240000,10,9.384848898989992,1.6600265604249667,undefined,undefined,undefined,
1760363245000,10,9.366595672179995,1.623841818702837,undefined,undefined,undefined,
1760363250000,10,9.350950049199994,1.298831052053152,undefined,undefined,undefined,
1760363255000,10,9.33008921856,1.4468788755684168,undefined,undefined,undefined,
1760363260000,10,9.306620784090004,1.7320427916454408,undefined,undefined,undefined,
1760363265000,10,9.283152349619996,1.7076178730670715,undefined,undefined,undefined,
1760363270000,10,9.26229151898,1.7092298411421678,undefined,undefined,undefined,
1760363275000,10,9.245725988420002,1.4795817715525745,undefined,undefined,undefined,
1760363280000,10,9.238366727779997,1.4934289127837514,undefined,undefined,undefined,
1760363285000,10,9.23008755956,1.787404058458627,undefined,undefined,undefined,
1760363290000,10,9.2236482065,1.560214529497806,undefined,undefined,undefined,
1760363295000,10,9.3695866253,1.2840774397471355,undefined,undefined,undefined,
1760363300000,10,9.353550878000004,1.4958117271639408,undefined,undefined,undefined,
1760363305000,10,9.341078630099995,1.54937343358396,undefined,undefined,undefined,
1760363310000,10,9.326824632499997,1.5323322096230463,undefined,undefined,undefined,
1760363315000,10,9.316134134299997,1.1863401406660452,undefined,undefined,undefined,
1760363320000,10,9.3018801367,1.4175779667881736,undefined,undefined,undefined,
1760363325000,10,9.285844389399996,1.8172100481026188,undefined,undefined,undefined,
1760363330000,10,9.271590391799997,1.7774989544123798,undefined,undefined,undefined,
1760363335000,10,9.259118143899999,1.480896435975911,undefined,undefined,undefined,
1760363340000,10,9.243886173259998,1.5990969805286428,undefined,undefined,undefined,
1760363345000,10,9.236526912619999,1.7552413456850315,undefined,undefined,undefined,
1760363350000,10,9.231927374719996,1.3681330246263943,undefined,undefined,undefined,
1760363355000,10,9.2236482065,1.4540922309929372,undefined,undefined,undefined,
1760363360000,10,9.215369038279999,1.7538731365097924,undefined,undefined,undefined,
1760363365000,10,9.207089870060004,1.6819286114744907,undefined,undefined,undefined,
1760363370000,10,9.198810701840003,1.747403164741287,undefined,undefined,undefined,
1760363375000,10,9.192371348779998,1.579466929911155,undefined,undefined,undefined,
1760363380000,10,9.184092180560004,1.594896331738437,undefined,undefined,undefined,
1760363385000,10,9.176732919920001,1.6974538192710935,undefined,undefined,undefined,
1760363388960,,,,,,,moja-centralledger-service-547fc678f6-7rmtj killed
1760363390000,10,9.170293566859996,1.6956816640289396,undefined,undefined,undefined,
1760363395000,10,9.161094491060005,1.733102253032929,undefined,0.0023252093618508786,undefined,
1760363400000,10,9.15557504558,1.723209477652127,undefined,0.002574616682486224,undefined,
1760363405000,10,9.142832574939991,1.4483757500517276,undefined,undefined,undefined,
1760363410000,10,9.131010011880003,1.3555033435749142,undefined,undefined,undefined,
1760363415000,10,9.117498511239996,1.4912019087384434,undefined,undefined,undefined,
1760363420000,10,9.102298073019991,1.5852293920179037,undefined,undefined,undefined,
1760363425000,10,9.092164447539998,1.4326647564469912,undefined,undefined,undefined,
1760363430000,10,9.078652946899993,1.4345732144686956,undefined,undefined,undefined,
1760363435000,10,9.065141446260004,1.8128257421255383,undefined,undefined,undefined,
1760363440000,10,9.051629945619998,1.7368649587494573,undefined,undefined,undefined,
1760363445000,10,9.034740569819995,1.6232302281540265,undefined,undefined,undefined,
1760363450000,10,9.022918006760005,1.6101534381511649,undefined,undefined,undefined,
1760363455000,10,9.012784381279994,1.3029968928535631,undefined,undefined,undefined,
1760363460000,10,8.997583943060008,1.6123831022250885,undefined,undefined,undefined,
1760363465000,10,8.98576138,1.5895092390224517,undefined,undefined,undefined,
1760363470000,10,8.969237065829988,1.310615989515072,undefined,undefined,undefined,
1760363475000,10,8.945630902730011,1.7609281126993994,undefined,undefined,undefined,
1760363480000,10,8.931467204869996,1.5779092702169626,undefined,undefined,undefined,
1760363485000,10,8.910221658079989,1.4588601439408675,undefined,undefined,undefined,
1760363490000,10,8.893697343910004,1.6323199347072026,undefined,undefined,undefined,
1760363495000,10,8.874812413429993,1.5070832914699086,undefined,undefined,undefined,
1760363500000,10,8.85592748295001,1.5808714553897836,undefined,undefined,undefined,
1760363505000,10,8.83704255247,1.6028205128205129,undefined,undefined,undefined,
1760363510000,10,8.815797005679993,1.6321044546850998,undefined,undefined,undefined,
1760363510237,,,,,,,moja-centralledger-handler-transfer-prepare-5f8556d7bb-2jr7n killed
1760363515000,10,8.79691207520001,1.4960837806917187,undefined,undefined,undefined,
1760363520000,10,8.775666528410003,1.7308083893300752,undefined,undefined,undefined,
1760363525000,10,8.76150283054999,1.6042780748663101,undefined,undefined,undefined,
1760363530000,10,8.748418462380002,1.4461315979754157,undefined,undefined,undefined,
