Time,VUs   - sdkFxSendE2E 2025-10-13 17:02,Failures  - sdkFxSendE2E 2025-10-13 17:02,Latency(p99)  - sdkFxSendE2E 2025-10-13 17:02,Throughput - sdkFxSendE2E 2025-10-13 17:02,SDK_E2E_STATUS_COMPLETED,TRANSFERS__POST_TRANSFERS_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_CONVERSION_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_PARTY_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_QUOTE_RESPONSE_IS_200,Pod Termination
1760375435000,10,undefined,8.888717388749999,1.1633528265107214,undefined,undefined,undefined,undefined,undefined,
1760375440000,10,undefined,8.887803856849999,1.7406440382941688,undefined,undefined,undefined,undefined,undefined,
1760375445000,10,undefined,8.886890324949999,1.7009695526450077,undefined,undefined,undefined,undefined,undefined,
1760375450000,10,undefined,8.88640814663,1.4827170790473543,undefined,undefined,undefined,undefined,undefined,
1760375455000,10,undefined,8.886281084779998,1.187392055267703,undefined,undefined,undefined,undefined,undefined,
1760375455216,,,,,,,,,,mojaloop-redis-leader-0 killed
1760375460000,10,undefined,8.88605237345,1.329880230206875,undefined,undefined,undefined,undefined,undefined,
1760375465000,10,undefined,8.885874486859999,1.6571724495080271,undefined,undefined,undefined,undefined,undefined,
1760375470000,10,undefined,8.991291695319992,1.4897905529751994,undefined,undefined,undefined,undefined,undefined,
1760375475000,10,undefined,8.981437875890002,1.5827204170933806,undefined,undefined,undefined,undefined,undefined,
1760375480000,10,undefined,8.971584056459994,1.3910969793322734,undefined,undefined,undefined,undefined,undefined,
1760375485000,10,undefined,8.961730237030004,1.4021031547320983,undefined,undefined,undefined,undefined,undefined,
1760375486502,,,,,,,,,,mojaloop-kafka-mojaloop-kafka-nodepool-1 killed
1760375490000,10,undefined,8.94906104062,1.6535758577924762,undefined,undefined,undefined,undefined,undefined,
1760375495000,10,undefined,8.939207221189992,1.5646391550948562,undefined,undefined,undefined,undefined,undefined,
1760375500000,10,undefined,8.93076109025,1.2392755004766445,undefined,undefined,undefined,undefined,undefined,
1760375505000,10,undefined,9.061686260479993,1.328971580453895,undefined,undefined,undefined,undefined,undefined,
1760375510000,10,undefined,9.050420245600003,1.7174261506755208,undefined,undefined,undefined,undefined,undefined,
